Parent SKU,Child SKU,Title,Price,Description,Weight Value,Weight Unit,Length,Width,Height,Unit,Images [ ],Attribute 1 Name,Attribute 1 Value,Attribute 2 Name,Attribute 2 Value,Attribute 3 Name,Attribute 3 Value,Attribute 4 Name,Attribute 4 Value,Attribute 5 Name,Attribute 5 Value,Attribute 6 Name,Attribute 6 Value,Attribute 7 Name,Attribute 7 Value
12020008,1202000800101170303000015002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""",Color,Rose
12020008,1202000800101170303000015003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"7""",Color,Gold
12020008,1202000800101170303000017101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""+1.5""",Color,Silver
12020008,1202000800101170303000017102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""+1.5""",Color,Rose
12020008,1202000800101170303000017103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""+1.5""",Color,Gold
12020008,1202000800101170303000017001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""",Color,Silver
12020008,1202000800101170303000017002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""",Color,Rose
12020008,1202000800101170303000017003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"8""",Color,Gold
12020008,1202000800101170303000019101,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""+1.5""",Color,Silver
12020008,1202000800101170303000019102,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""+1.5""",Color,Rose
12020008,1202000800101170303000019103,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""+1.5""",Color,Gold
12020008,1202000800101170303000019001,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""",Color,Silver
12020008,1202000800101170303000019002,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""",Color,Rose
12020008,1202000800101170303000019003,,11.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,3,Size,"9""",Color,Gold
12020008,1202000800101170304000009101,,13.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,4,Size,"4""+1.5""",Color,Silver
12020008,1202000800101170304000009102,,13.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,4,Size,"4""+1.5""",Color,Rose
12020008,1202000800101170304000009103,,13.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,4,Size,"4""+1.5""",Color,Gold
12020008,1202000800101170304000009001,,13.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,4,Size,"4""",Color,Silver
12020008,1202000800101170304000009002,,13.5,,,,,,,,,Materyal,Gümüş,Uç Seçeneği,1,Zincir Tipi,40 Doç Zincir,Taş Tipi,Damla 7x5,Taş Adedi,4,Size,"4""",Color,Rose
